,Bowler,Overs,Maidens,Runs,Wickets,Economy,Dot Balls,Fours,Sixes,Wide,No Balls
387,Anrich Nortje,4,0,41,4,10.25,11,1,4,0,1
388,Tabraiz Shamsi,4,0,36,1,9.00,8,2,2,2,0
389,Wayne Parnell,4,0,31,1,7.75,10,3,1,0,0
390,Kagiso Rabada,4,0,44,1,11.00,7,4,2,0,0
391,Lungi Ngidi,4,0,32,1,8.00,11,3,1,2,0
392,Anrich Nortje,4,0,41,4,10.25,11,1,4,0,1
393,Tabraiz Shamsi,4,0,36,1,9.00,8,2,2,2,0
394,Josh Little,4,0,22,3,5.50,10,2,0,1,0
395,Mark Adair,4,0,39,1,9.75,9,3,1,3,0
396,Barry McCarthy,4,0,46,0,11.50,4,4,2,0,0
397,Gareth Delany,4,0,30,2,7.50,11,3,1,1,0
398,Fionn Hand,2,0,22,0,11.00,2,2,1,0,0
399,George Dockrell,2,0,18,0,9.00,4,2,0,2,0
400,Josh Little,4,0,22,3,5.50,10,2,0,1,0
401,Mark Adair,4,0,39,1,9.75,9,3,1,3,0
402,Barry McCarthy,4,0,46,0,11.50,4,4,2,0,0
403,Gareth Delany,4,0,30,2,7.50,11,3,1,1,0
404,Fionn Hand,2,0,22,0,11.00,2,2,1,0,0
405,George Dockrell,2,0,18,0,9.00,4,2,0,2,0
406,Fazalhaq Farooqi,4,0,29,2,7.25,13,4,1,0,0
407,Mujeeb Ur Rahman,4,0,42,1,10.50,5,4,1,1,0
408,Naveen-ul-Haq,4,0,21,3,5.25,11,2,0,0,0
409,Gulbadin Naib,3,0,31,0,10.33,6,3,2,0,0
410,Rashid Khan,4,0,29,1,7.25,9,2,1,1,0
411,Mohammad Nabi,1,0,14,0,14.00,1,1,1,0,0
412,Fazalhaq Farooqi,4,0,29,2,7.25,13,4,1,0,0
413,Mujeeb Ur Rahman,4,0,42,1,10.50,5,4,1,1,0
414,Naveen-ul-Haq,4,0,21,3,5.25,11,2,0,0,0
415,Gulbadin Naib,3,0,31,0,10.33,6,3,2,0,0
416,Rashid Khan,4,0,29,1,7.25,9,2,1,1,0
417,Mohammad Nabi,1,0,14,0,14.00,1,1,1,0,0
418,Ben Stokes,3,0,24,1,8.00,8,1,2,0,0
419,Chris Woakes,3,0,24,1,8.00,5,3,0,1,0
