,0,1,2,3,4,5,6,7
261,Virat Kohli,not out,82,53,98,6,4,154.71
262,Suryakumar Yadav,c †Mohammad Rizwan b Haris Rauf,15,10,11,2,0,150.00
263,Axar Patel,run out (Babar Azam/†Mohammad Rizwan),2,3,7,0,0,66.66
264,Hardik Pandya,c Babar Azam b Mohammad Nawaz,40,37,61,1,2,108.10
265,Dinesh Karthik †,st †Mohammad Rizwan b Mohammad Nawaz,1,2,10,0,0,50.00
266,Ravichandran Ashwin,not out,1,1,2,0,0,100.00
267,Najmul Hossain Shanto,c van Beek b Pringle,25,20,31,4,0,125.00
268,Soumya Sarkar,c de Leede b van Meekeren,14,14,24,2,0,100.00
269,Litton Das,c Cooper b van Beek,9,11,17,0,0,81.81
270,Shakib Al Hasan (c),c de Leede b Shariz Ahmad,7,9,14,0,0,77.77
271,Afif Hossain,c †Edwards b de Leede,38,27,47,2,2,140.74
272,Yasir Ali,b van Meekeren,3,5,9,0,0,60.00
273,Nurul Hasan †,c van Meekeren b de Leede,13,18,28,0,0,72.22
274,Mosaddek Hossain,not out,20,12,12,2,1,166.66
275,Taskin Ahmed,c van Beek b Klaassen,0,1,3,0,0,0.00
276,Hasan Mahmud,not out,0,3,6,0,0,0.00
277,Vikramjit Singh,c Yasir Ali b Taskin Ahmed,0,1,4,0,0,0.00
278,Max O'Dowd,run out (Afif Hossain/Shakib Al Hasan),8,8,21,0,1,100.00
279,Bas de Leede,c †Nurul Hasan b Taskin Ahmed,0,1,2,0,0,0.00
280,Colin Ackermann,c Mosaddek Hossain b Taskin Ahmed,62,48,77,6,2,129.16
281,Tom Cooper,run out (Najmul Hossain Shanto/†Nurul Hasan),0,0,2,0,0,-
282,Scott Edwards (c)†,c Hasan Mahmud b Shakib Al Hasan,16,24,33,1,0,66.66
283,Tim Pringle,b Hasan Mahmud,1,6,5,0,0,16.66
284,Logan van Beek,c Taskin Ahmed b Hasan Mahmud,2,5,9,0,0,40.00
285,Shariz Ahmad,c Hasan Mahmud b Taskin Ahmed,9,8,9,1,0,112.50
286,Fred Klaassen,not out,7,6,20,0,0,116.66
287,Paul van Meekeren,c Litton Das b Soumya Sarkar,24,14,16,3,1,171.42
288,Regis Chakabva †,c †de Kock b Ngidi,8,8,13,0,1,100.00
289,Craig Ervine (c),c Ngidi b Parnell,2,6,11,0,0,33.33
290,Sean Williams,run out (Miller),1,1,10,0,0,100.00
291,Sikandar Raza,c †de Kock b Ngidi,0,2,3,0,0,0.00
